"Gene","state","trait1_risk","trait2_risk","pleiotropic"
"GENE00001","00",FALSE,FALSE,FALSE
"GENE00002","00",FALSE,FALSE,FALSE
"GENE00003","00",FALSE,FALSE,FALSE
"GENE00004","00",FALSE,FALSE,FALSE
"GENE00005","00",FALSE,FALSE,FALSE
"GENE00006","00",FALSE,FALSE,FALSE
"GENE00007","00",FALSE,FALSE,FALSE
"GENE00008","00",FALSE,FALSE,FALSE
"GENE00009","00",FALSE,FALSE,FALSE
"GENE00010","00",FALSE,FALSE,FALSE
"GENE00011","00",FALSE,FALSE,FALSE
"GENE00012","00",FALSE,FALSE,FALSE
"GENE00013","00",FALSE,FALSE,FALSE
"GENE00014","00",FALSE,FALSE,FALSE
"GENE00015","00",FALSE,FALSE,FALSE
"GENE00016","00",FALSE,FALSE,FALSE
"GENE00017","00",FALSE,FALSE,FALSE
"GENE00018","00",FALSE,FALSE,FALSE
"GENE00019","00",FALSE,FALSE,FALSE
"GENE00020","00",FALSE,FALSE,FALSE
"GENE00021","00",FALSE,FALSE,FALSE
"GENE00022","00",FALSE,FALSE,FALSE
"GENE00023","00",FALSE,FALSE,FALSE
"GENE00024","00",FALSE,FALSE,FALSE
"GENE00025","00",FALSE,FALSE,FALSE
"GENE00026","00",FALSE,FALSE,FALSE
"GENE00027","00",FALSE,FALSE,FALSE
"GENE00028","00",FALSE,FALSE,FALSE
"GENE00029","00",FALSE,FALSE,FALSE
"GENE00030","00",FALSE,FALSE,FALSE
"GENE00031","00",FALSE,FALSE,FALSE
"GENE00032","00",FALSE,FALSE,FALSE
"GENE00033","00",FALSE,FALSE,FALSE
"GENE00034","00",FALSE,FALSE,FALSE
"GENE00035","00",FALSE,FALSE,FALSE
"GENE00036","10",TRUE,FALSE,FALSE
"GENE00037","00",FALSE,FALSE,FALSE
"GENE00038","00",FALSE,FALSE,FALSE
"GENE00039","00",FALSE,FALSE,FALSE
"GENE00040","00",FALSE,FALSE,FALSE
"GENE00041","00",FALSE,FALSE,FALSE
"GENE00042","00",FALSE,FALSE,FALSE
"GENE00043","00",FALSE,FALSE,FALSE
"GENE00044","00",FALSE,FALSE,FALSE
"GENE00045","00",FALSE,FALSE,FALSE
"GENE00046","00",FALSE,FALSE,FALSE
"GENE00047","00",FALSE,FALSE,FALSE
"GENE00048","00",FALSE,FALSE,FALSE
"GENE00049","00",FALSE,FALSE,FALSE
"GENE00050","00",FALSE,FALSE,FALSE
"GENE00051","00",FALSE,FALSE,FALSE
"GENE00052","00",FALSE,FALSE,FALSE
"GENE00053","00",FALSE,FALSE,FALSE
"GENE00054","00",FALSE,FALSE,FALSE
"GENE00055","00",FALSE,FALSE,FALSE
"GENE00056","00",FALSE,FALSE,FALSE
"GENE00057","00",FALSE,FALSE,FALSE
"GENE00058","00",FALSE,FALSE,FALSE
"GENE00059","00",FALSE,FALSE,FALSE
"GENE00060","00",FALSE,FALSE,FALSE
"GENE00061","00",FALSE,FALSE,FALSE
"GENE00062","00",FALSE,FALSE,FALSE
"GENE00063","00",FALSE,FALSE,FALSE
"GENE00064","00",FALSE,FALSE,FALSE
"GENE00065","00",FALSE,FALSE,FALSE
"GENE00066","00",FALSE,FALSE,FALSE
"GENE00067","00",FALSE,FALSE,FALSE
"GENE00068","00",FALSE,FALSE,FALSE
"GENE00069","00",FALSE,FALSE,FALSE
"GENE00070","00",FALSE,FALSE,FALSE
"GENE00071","00",FALSE,FALSE,FALSE
"GENE00072","00",FALSE,FALSE,FALSE
"GENE00073","00",FALSE,FALSE,FALSE
"GENE00074","00",FALSE,FALSE,FALSE
"GENE00075","00",FALSE,FALSE,FALSE
"GENE00076","00",FALSE,FALSE,FALSE
"GENE00077","11",TRUE,TRUE,TRUE
"GENE00078","00",FALSE,FALSE,FALSE
"GENE00079","00",FALSE,FALSE,FALSE
"GENE00080","00",FALSE,FALSE,FALSE
"GENE00081","10",TRUE,FALSE,FALSE
"GENE00082","00",FALSE,FALSE,FALSE
"GENE00083","00",FALSE,FALSE,FALSE
"GENE00084","00",FALSE,FALSE,FALSE
"GENE00085","00",FALSE,FALSE,FALSE
"GENE00086","00",FALSE,FALSE,FALSE
"GENE00087","00",FALSE,FALSE,FALSE
"GENE00088","00",FALSE,FALSE,FALSE
"GENE00089","00",FALSE,FALSE,FALSE
"GENE00090","00",FALSE,FALSE,FALSE
"GENE00091","00",FALSE,FALSE,FALSE
"GENE00092","00",FALSE,FALSE,FALSE
"GENE00093","00",FALSE,FALSE,FALSE
"GENE00094","00",FALSE,FALSE,FALSE
"GENE00095","00",FALSE,FALSE,FALSE
"GENE00096","01",FALSE,TRUE,FALSE
"GENE00097","00",FALSE,FALSE,FALSE
"GENE00098","00",FALSE,FALSE,FALSE
"GENE00099","00",FALSE,FALSE,FALSE
"GENE00100","00",FALSE,FALSE,FALSE
"GENE00101","00",FALSE,FALSE,FALSE
"GENE00102","00",FALSE,FALSE,FALSE
"GENE00103","00",FALSE,FALSE,FALSE
"GENE00104","00",FALSE,FALSE,FALSE
"GENE00105","00",FALSE,FALSE,FALSE
"GENE00106","00",FALSE,FALSE,FALSE
"GENE00107","00",FALSE,FALSE,FALSE
"GENE00108","00",FALSE,FALSE,FALSE
"GENE00109","00",FALSE,FALSE,FALSE
"GENE00110","00",FALSE,FALSE,FALSE
"GENE00111","00",FALSE,FALSE,FALSE
"GENE00112","00",FALSE,FALSE,FALSE
"GENE00113","00",FALSE,FALSE,FALSE
