"trait","ID","Gene","No.case","No.contr","category","log_bf","mutation_rate","count_rate","high_background","true_z","true_rr"
"trait1","t1_GENE00001_v1","GENE00001",0,0,"C1",0,5.44236679081245e-08,5.44236679081245e-08,FALSE,0,1
"trait1","t1_GENE00001_v2","GENE00001",0,0,"C3",0,5.86680496037076e-05,5.86680496037076e-05,FALSE,0,1
"trait1","t1_GENE00001_v3","GENE00001",0,0,"C2",0,7.83893277288207e-09,7.83893277288207e-09,FALSE,0,1
"trait1","t1_GENE00001_v4","GENE00001",2,1,"C2",0.117783035656383,0.000167681453776717,0.000167681453776717,FALSE,0,1
"trait1","t1_GENE00001_v5","GENE00001",0,0,"C1",0,4.09476316677926e-06,4.09476316677926e-06,FALSE,0,1
"trait1","t1_GENE00001_v6","GENE00001",0,0,"C1",0,1.27995992332988e-05,1.27995992332988e-05,FALSE,0,1
"trait1","t1_GENE00001_v7","GENE00001",1,1,"C1",-0.287682072451781,0.000280504315078326,0.000280504315078326,FALSE,0,1
"trait1","t1_GENE00001_v8","GENE00001",0,0,"C2",0,4.2760123010169e-05,4.2760123010169e-05,FALSE,0,1
"trait1","t1_GENE00001_v9","GENE00001",0,0,"C3",0,5.85392762296422e-06,5.85392762296422e-06,FALSE,0,1
"trait1","t1_GENE00001_v10","GENE00001",1,3,"C1",-1.67397643357167,0.000161214369331281,0.000161214369331281,FALSE,0,1
"trait1","t1_GENE00001_v11","GENE00001",0,0,"C1",0,7.78003081354818e-06,7.78003081354818e-06,FALSE,0,1
"trait1","t1_GENE00001_v12","GENE00001",0,1,"C2",-0.693147180559945,5.65320000969072e-05,5.65320000969072e-05,FALSE,0,1
"trait1","t1_GENE00001_v13","GENE00001",0,3,"C2",-2.07944154167984,0.000167524641943171,0.000167524641943171,FALSE,0,1
"trait1","t1_GENE00001_v14","GENE00001",2,0,"C1",0.810930216216329,6.18928952390465e-05,6.18928952390465e-05,FALSE,0,1
"trait1","t1_GENE00001_v15","GENE00001",0,0,"C2",0,3.92786466090813e-05,3.92786466090813e-05,FALSE,0,1
"trait1","t1_GENE00002_v1","GENE00002",2,1,"C1",0.117783035656383,0.000392307594881067,0.000392307594881067,FALSE,0,1
"trait1","t1_GENE00002_v2","GENE00002",3,0,"C1",1.21639532432449,0.0001421304362351,0.0001421304362351,FALSE,0,1
"trait1","t1_GENE00002_v3","GENE00002",0,0,"C2",0,2.78563692973677e-06,2.78563692973677e-06,FALSE,0,1
"trait1","t1_GENE00002_v4","GENE00002",0,0,"C2",0,3.48308492924532e-07,3.48308492924532e-07,FALSE,0,1
"trait1","t1_GENE00002_v5","GENE00002",2,3,"C3",-2.27418561847235,0.000264490002447905,0.000264490002447905,FALSE,0,1
"trait1","t1_GENE00002_v6","GENE00002",2,1,"C1",0.117783035656383,0.000428912973397131,0.000428912973397131,FALSE,0,1
"trait1","t1_GENE00002_v7","GENE00002",1,0,"C1",0.405465108108164,8.912420748541e-05,8.912420748541e-05,FALSE,0,1
"trait1","t1_GENE00002_v8","GENE00002",1,1,"C3",-0.587786664902119,0.000361429303054091,0.000361429303054091,FALSE,0,1
"trait1","t1_GENE00002_v9","GENE00002",0,0,"C1",0,9.90506405228497e-06,9.90506405228497e-06,FALSE,0,1
"trait1","t1_GENE00002_v10","GENE00002",1,0,"C1",0.405465108108164,2.02146620632426e-05,2.02146620632426e-05,FALSE,0,1
"trait1","t1_GENE00002_v11","GENE00002",0,0,"C1",0,3.41575606379842e-05,3.41575606379842e-05,FALSE,0,1
"trait1","t1_GENE00002_v12","GENE00002",0,0,"C1",0,4.82406224850775e-05,4.82406224850775e-05,FALSE,0,1
"trait1","t1_GENE00002_v13","GENE00002",10,8,"C1",-1.49052636339792,0.00155246931867497,0.00155246931867497,FALSE,0,1
"trait1","t1_GENE00002_v14","GENE00002",0,0,"C1",0,2.78110170570134e-07,2.78110170570134e-07,FALSE,0,1
"trait1","t1_GENE00002_v15","GENE00002",0,0,"C1",0,8.93084960098801e-07,8.93084960098801e-07,FALSE,0,1
"trait1","t1_GENE00003_v1","GENE00003",1,0,"C1",0.405465108108164,2.30768447837793e-05,2.30768447837793e-05,FALSE,0,1
"trait1","t1_GENE00003_v2","GENE00003",0,0,"C1",0,3.4183854575301e-07,3.4183854575301e-07,FALSE,0,1
"trait1","t1_GENE00003_v3","GENE00003",0,0,"C1",0,1.76835675825419e-06,1.76835675825419e-06,FALSE,0,1
"trait1","t1_GENE00003_v4","GENE00003",0,0,"C1",0,6.34149408084971e-06,6.34149408084971e-06,FALSE,0,1
"trait1","t1_GENE00003_v5","GENE00003",5,2,"C1",0.641031179420932,0.000867637422766598,0.000867637422766598,FALSE,0,1
"trait1","t1_GENE00003_v6","GENE00003",0,1,"C1",-0.693147180559945,1.81236377473689e-05,1.81236377473689e-05,FALSE,0,1
"trait1","t1_GENE00003_v7","GENE00003",1,1,"C1",-0.287682072451781,8.20594567219537e-05,8.20594567219537e-05,FALSE,0,1
